1;María Gómez;[domain.Videogame@6fb547fa, domain.Videogame@55189732];[domain.Sale@7259922f]
2;Juan Martínez;[domain.Videogame@186195f4, domain.Videogame@5d2e8b95, domain.Videogame@4c9e3605];[domain.Sale@72680d53]
3;Camila Rodríguez;[domain.Videogame@66b2e8df, domain.Videogame@4f69a5bf, domain.Videogame@727a9c49];[domain.Sale@40ca05c0]
4;Andrés Pérez;[domain.Videogame@314ff916, domain.Videogame@3309f6dd, domain.Videogame@1537ac21];[domain.Sale@5434f42]
5;Laura Hernández;[domain.Videogame@4b0a91b5, domain.Videogame@37493917, domain.Videogame@1fb7dd7b];[domain.Sale@11b890]
6;Santiago López;[domain.Videogame@1f89161e, domain.Videogame@61f60579];[domain.Sale@400b5039]
7;Valentina Díaz;[domain.Videogame@4dd3a590, domain.Videogame@1a3d63d2, domain.Videogame@4b317021];[domain.Sale@51217be6]
8;Daniel Torres;[domain.Videogame@18eab77, domain.Videogame@705c7b67];[domain.Sale@30acad35]
9;Karen Morales;[domain.Videogame@6a080e8d, domain.Videogame@1ea9d5a8, domain.Videogame@d3d0259];[domain.Sale@582dd3ce]
10;Felipe Castillo;[domain.Videogame@72fbc220, domain.Videogame@222f4d42];[domain.Sale@4765ac94]
11;Paola Jiménez;[domain.Videogame@71e0b415, domain.Videogame@5d2692cb];[domain.Sale@53b8170]
12;Mateo Rivas;[domain.Videogame@6f508c4f, domain.Videogame@1b64ddac, domain.Videogame@72bda4c1];[domain.Sale@2b549be7]
13;Natalia Cruz;[domain.Videogame@408d4836, domain.Videogame@7d397436, domain.Videogame@623d4cfc];[domain.Sale@6db978ff]
14;Carlos Vega;[domain.Videogame@475f5186, domain.Videogame@7171159f];[domain.Sale@7923ede1]
15;Juliana Ruiz;[domain.Videogame@5f7b1cba, domain.Videogame@6295a5b2, domain.Videogame@1bb19992];[domain.Sale@7d9b23e0]
16;Miguel Navarro;[domain.Videogame@7a826e25, domain.Videogame@35f5ecf2];[domain.Sale@229f8ed7]
17;Adriana Salazar;[domain.Videogame@63f3d47, domain.Videogame@6fa598e3];[domain.Sale@752d6b99]
18;Ricardo Roldán;[domain.Videogame@2b9aaadd, domain.Videogame@54306fec];[domain.Sale@17919709]
19;Diana Pardo;[domain.Videogame@97e47c1, domain.Videogame@77ccd871, domain.Videogame@20d4866b];[domain.Sale@3b6664a7]
20;Jorge Batista;[domain.Videogame@405d6c45];[domain.Sale@51c33b6f]
